Name,Category,Film,Win_Oscar?,Year_Ceremony,Birth_Date,Birth_Place,Gender,Race or Ethnicity,Sexual orientation,Religion,Link
Gloria Grahame,ACTRESS IN A SUPPORTING ROLE,Crossfire,FALSE,1948,1923-11-28,"Los Angeles, CA",Female,White,Straight,Na,/people/088/000063896/
Celeste Holm,ACTRESS IN A SUPPORTING ROLE,Gentleman's Agreement,TRUE,1948,1917-04-29,New York City,Female,White,Straight,Na,/people/084/000063892/
Marjorie Main,ACTRESS IN A SUPPORTING ROLE,The Egg and I,FALSE,1948,1890-02-24,"Acton, IN",Female,White,Bisexual,Na,http://www.nndb.com/people/385/000109058/
Anne Revere,ACTRESS IN A SUPPORTING ROLE,Gentleman's Agreement,FALSE,1948,1903-06-25,New York City,Female,White,Straight,Na,/people/081/000063889/
Henry Koster,DIRECTING,The Bishop's Wife,FALSE,1948,1905-05-01,"Berlin, Germany",Male,White,Straight,Jewish,http://www.nndb.com/people/330/000078096/
Edward Dmytryk,DIRECTING,Crossfire,FALSE,1948,1908-09-04,"Grand Forks, British Columbia, Canada",Male,White,Straight,Na,http://www.nndb.com/people/674/000032578/
George Cukor,DIRECTING,A Double Life,FALSE,1948,1899-07-07,New York City,Male,White,Gay,Na,/people/373/000041250/
Elia Kazan,DIRECTING,Gentleman's Agreement,TRUE,1948,1909-09-07,"Istanbul, Turkey",Male,White,Straight,Na,/people/537/000026459/
David Lean,DIRECTING,Great Expectations,FALSE,1948,1908-03-25,"Croydon, Surrey, England",Male,White,Straight,Na,/people/462/000032366/
Lew Ayres,ACTOR,Johnny Belinda,FALSE,1949,1908-12-28,"Minneapolis, MN",Male,White,Straight,Na,http://www.nndb.com/people/636/000043507/
Montgomery Clift,ACTOR,The Search,FALSE,1949,1920-10-17,"Omaha, NE",Male,White,Gay,Na,http://www.nndb.com/people/920/000043791/
Dan Dailey,ACTOR,When My Baby Smiles at Me,FALSE,1949,1913-12-14,New York City,Male,White,Straight,Na,http://www.nndb.com/people/286/000086028/
Laurence Olivier,ACTOR,Hamlet,TRUE,1949,1907-05-22,"Dorking, Surrey, England",Male,White,Bisexual,Na,/people/607/000022541/
Clifton Webb,ACTOR,Sitting Pretty,FALSE,1949,1889-11-11,"Indianapolis, IN",Male,White,Matter of Dispute,Na,http://www.nndb.com/people/873/000078639/
Charles Bickford,ACTOR IN A SUPPORTING ROLE,Johnny Belinda,FALSE,1949,1891-01-01,"Cambridge, MA",Male,White,Straight,Na,http://www.nndb.com/people/453/000079216/
Jose Ferrer,ACTOR IN A SUPPORTING ROLE,Joan of Arc,FALSE,1949,1909-01-08,"Santurce, Puerto Rico",Male,Hispanic,Straight,Na,/people/311/000026233/
Oscar Homolka,ACTOR IN A SUPPORTING ROLE,I Remember Mama,FALSE,1949,1898-08-12,"Vienna, Austria-Hungary",Male,White,Straight,Jewish,http://www.nndb.com/people/190/000205572/
Walter Huston,ACTOR IN A SUPPORTING ROLE,The Treasure of the Sierra Madre,TRUE,1949,1884-04-06,"Toronto, Ontario, Canada",Male,White,Straight,Na,/people/122/000063930/
Cecil Kellaway,ACTOR IN A SUPPORTING ROLE,The Luck of the Irish,FALSE,1949,1893-08-22,"Cape Town, South Africa",Male,White,Straight,Na,http://www.nndb.com/people/487/000092211/
Ingrid Bergman,ACTRESS,Joan of Arc,FALSE,1949,1915-08-29,"Stockholm, Sweden",Female,White,Straight,Na,/people/836/000024764/
Olivia de Havilland,ACTRESS,The Snake Pit,FALSE,1949,1916-07-01,"Tokyo, Japan",Female,White,Straight,Na,/people/741/000022675/
Irene Dunne,ACTRESS,I Remember Mama,FALSE,1949,1898-12-20,"Louisville, KY",Female,White,Straight,Na,http://www.nndb.com/people/346/000044214/
Barbara Stanwyck,ACTRESS,"Sorry, Wrong Number",FALSE,1949,1907-07-16,"Brooklyn, NY",Female,White,Matter of Dispute,Na,http://www.nndb.com/people/766/000026688/
Jane Wyman,ACTRESS,Johnny Belinda,TRUE,1949,1917-01-05,"St. Joseph, MO",Female,White,Straight,Roman Catholic,/people/656/000022590/
